"bg_id","holc_pred"
"550250001001",0
"550250001002",0
"550250002011",0
"550250002012",0
"550250002021",0
"550250002022",0
"550250002041",0
"550250002042",0
"550250002043",0
"550250002051",0
"550250002052",0
"550250002053",0
"550250002054",0
"550250003011",0
"550250003012",0
"550250003013",0
"550250003021",0
"550250003022",0
"550250004011",0
"550250004012",0
"550250004021",0
"550250004022",0
"550250004061",0
"550250004062",0
"550250004071",0
"550250004072",0
"550250004073",0
"550250004074",0
"550250004081",0
"550250004082",0
"550250004091",0
"550250004092",0
"550250004093",0
"550250004101",0
"550250004102",0
"550250005011",0
"550250005012",0
"550250005013",0
"550250005014",0
"550250005041",0
"550250005042",0
"550250005043",0
"550250005044",0
"550250005045",0
"550250005051",0
"550250005052",0
"550250005061",0
"550250005062",0
"550250006001",0
"550250006002",0
"550250006003",0
"550250006004",0
"550250007001",0
"550250007002",0
"550250007003",0
"550250008001",0
"550250008002",0
"550250008003",0
"550250009011",0
"550250009012",0
"550250009021",0
"550250009022",0
"550250009023",0
"550250009024",0
"550250010001",0
"550250010002",0
"550250011011",0
"550250011012",0.24
"550250011013",0.033
"550250011014",0
"550250011021",0
"550250011022",0
"550250012001",0.489
"550250012002",0
"550250012003",0
"550250012004",0.016
"550250013001",0.231
"550250013002",0.259
"550250014011",0.538
"550250014012",0
"550250014013",0.259
"550250014014",0.007
"550250014021",0.145
"550250014022",0
"550250014023",0
"550250014024",0
"550250014041",0
"550250014042",0
"550250014043",0
"550250014051",0
"550250014052",0
"550250015011",0
"550250015012",0
"550250015021",0
"550250015022",0
"550250015023",0
"550250015024",0
"550250016031",0
"550250016032",0
"550250016033",0
"550250016041",0
"550250016042",0
"550250016043",0
"550250016044",0
"550250016051",0.442
"550250016052",0.418
"550250016061",0
"550250016062",0.356
"550250016063",0
"550250016064",0.722
"550250017041",0
"550250017042",0
"550250017043",0
"550250017044",0
"550250017061",0.085
"550250017062",0
"550250017063",0
"550250017071",0.012
"550250017072",0.013
"550250018021",0
"550250018022",0
"550250018023",0.347
"550250018041",0
"550250018042",0.187
"550250018043",0.112
"550250019011",0
"550250019012",0
"550250019013",0.001
"550250019014",0
"550250019021",0.026
"550250019022",0.509
"550250020001",0.616
"550250020002",0.396
"550250020003",0.003
"550250020004",0.37
"550250021001",0.198
"550250021002",0.003
"550250021003",0.426
"550250021004",0.055
"550250022001",0
"550250022002",0
"550250022003",0
"550250023011",0
"550250023012",0
"550250023021",0
"550250024011",0
"550250024012",0
"550250024013",0
"550250024021",0
"550250024022",0
"550250025001",0
"550250025002",0
"550250026011",0
"550250026012",0.196
"550250026021",0
"550250026022",0
"550250026023",0
"550250026024",0
"550250026031",0
"550250026032",0
"550250026033",0
"550250027001",0
"550250027002",0.029
"550250027003",0
"550250028001",0.865
"550250028002",0.176
"550250029001",0
"550250029002",0
"550250029003",0
"550250030011",0
"550250030012",0
"550250030013",0
"550250030014",0
"550250030015",0
"550250030021",0
"550250030022",0
"550250031001",0
"550250031002",0
"550250031003",0.009
"550250031004",0.139
"550250032001",0
"550250101001",0
"550250101002",0
"550250102001",0
"550250103001",0
"550250103002",0
"550250103003",0
"550250104001",0
"550250104002",0
"550250104003",0
"550250105011",0
"550250105012",0
"550250105031",0
"550250105032",0
"550250105041",0
"550250105042",0
"550250106001",0
"550250106002",0
"550250106003",0
"550250106004",0
"550250106005",0
"550250107011",0
"550250107012",0
"550250107013",0
"550250107021",0
"550250107022",0
"550250107023",0
"550250107024",0
"550250107025",0
"550250108011",0
"550250108012",0
"550250108013",0
"550250108014",0
"550250108021",0
"550250108022",0
"550250109031",0
"550250109032",0
"550250109033",0
"550250109051",0
"550250109052",0
"550250109053",0
"550250109054",0
"550250109061",0
"550250109062",0
"550250109071",0
"550250109072",0
"550250109081",0
"550250109082",0
"550250110001",0
"550250110002",0
"550250111011",0
"550250111012",0
"550250111013",0
"550250111014",0
"550250111031",0
"550250111032",0
"550250111033",0
"550250111034",0
"550250111041",0
"550250111042",0
"550250111043",0
"550250112011",0
"550250112012",0
"550250112021",0
"550250112022",0
"550250112023",0
"550250113011",0
"550250113012",0
"550250113013",0
"550250113021",0
"550250113022",0
"550250113023",0
"550250114031",0
"550250114032",0
"550250114041",0
"550250114042",0
"550250114043",0
"550250114044",0
"550250114051",0
"550250114052",0
"550250114053",0
"550250114061",0
"550250114062",0
"550250114071",0
"550250115041",0
"550250115042",0
"550250115051",0
"550250115052",0
"550250115053",0
"550250115061",0
"550250115062",0
"550250115063",0
"550250115071",0
"550250115072",0
"550250115081",0
"550250115082",0
"550250116001",0
"550250116002",0
"550250116003",0
"550250116004",0
"550250117001",0
"550250117002",0
"550250118001",0
"550250118002",0
"550250118003",0
"550250118004",0
"550250119001",0
"550250119002",0
"550250119003",0
"550250119004",0
"550250120021",0
"550250120022",0
"550250120023",0
"550250120024",0
"550250120031",0
"550250120032",0
"550250120033",0
"550250120041",0
"550250121001",0
"550250121002",0
"550250121003",0
"550250122011",0
"550250122021",0
"550250122022",0
"550250122023",0
"550250122024",0
"550250122025",0
"550250123001",0
"550250123002",0
"550250123003",0
"550250123004",0
"550250124001",0
"550250124002",0
"550250125011",0
"550250125012",0
"550250125013",0
"550250125014",0
"550250125021",0
"550250125022",0
"550250125023",0
"550250126001",0
"550250126002",0
"550250126003",0
"550250127001",0
"550250127002",0
"550250128001",0
"550250128002",0
"550250128003",0
"550250128004",0
"550250129001",0
"550250129002",0
"550250129003",0
"550250130001",0
"550250130002",0
"550250131001",0
"550250131002",0
"550250131003",0
"550250131004",0
"550250132011",0
"550250132012",0
"550250132021",0
"550250132022",0
"550250132023",0
"550250133011",0
"550250133012",0
"550250133021",0
"550250133022",0
"550250133023",0
